,idx,ans,weighted
0,0,$\it{Other}$,0.006273219997727336
1,0,A,0.8938600148273497
2,0,B,0.033413264210837026
3,0,C,0.06645350096408599
4,1,$\it{Other}$,0.011075212502474525
5,1,A,0.856880692672285
6,1,B,0.03056849260581219
7,1,C,0.10147560221942842
8,2,$\it{Other}$,0.0
9,2,A,0.8700421982956031
10,2,B,0.05991560340879395
11,2,C,0.07004219829560304
12,3,$\it{Other}$,0.03333333333333333
13,3,A,0.9503324175824046
14,3,B,0.01633424908426204
15,3,C,0.0
16,4,$\it{Other}$,0.010298377724222464
17,4,A,0.9529354963677035
18,4,B,0.0
19,4,C,0.036766125908074154
20,5,$\it{Other}$,0.0
21,5,A,0.9666666666666667
22,5,B,0.03333333333333333
23,5,C,0.0
24,6,$\it{Other}$,0.007230388196234965
25,6,A,0.9261029451370982
26,6,B,0.0
27,6,C,0.06666666666666667
28,7,$\it{Other}$,0.035859252856759394
29,7,A,0.8666666666666668
30,7,B,0.035859252856759394
31,7,C,0.06161482761981455
32,8,$\it{Other}$,0.0
33,8,A,0.8691021236612343
34,8,B,0.055486355125218836
35,8,C,0.0754115212135469
36,9,$\it{Other}$,0.0
37,9,A,0.9666666666666667
38,9,B,0.0
39,9,C,0.03333333333333333
40,10,$\it{Other}$,0.03333333333333333
41,10,A,0.9
42,10,B,0.0
43,10,C,0.06666666666666667
44,11,$\it{Other}$,0.03333333333333333
45,11,A,0.9
46,11,B,0.03333333333333333
47,11,C,0.03333333333333333
48,12,$\it{Other}$,0.03333333333333333
49,12,A,0.9
50,12,B,0.0
51,12,C,0.06666666666666667
52,13,$\it{Other}$,0.03333333333333333
53,13,A,0.9666666666666667
54,13,B,0.0
55,13,C,0.0
56,14,$\it{Other}$,0.03333333333333333
57,14,A,0.9
58,14,B,0.03333333333333333
59,14,C,0.03333333333333333
60,15,$\it{Other}$,0.13333333333333333
61,15,A,0.8333333333333334
62,15,B,0.0
63,15,C,0.03333333333333333
64,16,$\it{Other}$,0.03333333333333333
65,16,A,0.8333333333333334
66,16,B,0.0
67,16,C,0.13333333333333333
68,17,$\it{Other}$,0.03333333333333333
69,17,A,0.9
70,17,B,0.03333333333333333
71,17,C,0.03333333333333333
72,18,$\it{Other}$,0.030457323039293157
73,18,A,0.8143800514702009
74,18,B,0.030457323039293157
75,18,C,0.12470530245121281
76,19,$\it{Other}$,0.02239324496245593
77,19,A,0.9713853296046884
78,19,B,0.0031107127164279056
79,19,C,0.0031107127164279056
80,20,$\it{Other}$,0.0
81,20,A,0.9
82,20,B,0.03333333333333333
83,20,C,0.06666666666666667
84,21,$\it{Other}$,0.0027586958877659977
85,21,A,0.8388507251088654
86,21,B,0.03609202922109933
87,21,C,0.12229854978226934
88,22,$\it{Other}$,0.0017788804728027683
89,22,A,0.9070236516903055
90,22,B,0.05964301497636119
91,22,C,0.03155445286053057
92,23,$\it{Other}$,0.0
93,23,A,0.9666666666666667
94,23,B,0.0
95,23,C,0.03333333333333333
