,idx,tok,ans,tok_p,ans_mean,ext_p,weighted
0,0,"
",$\it{Other}$,0.07091433519952348,0.0,0.0,0.0
1,0,"
","No 
",0.07091433519952348,1.0,1.0,0.07091433519952348
2,0,"

",$\it{Other}$,0.09080051905834549,0.0,0.0,0.0
3,0,"

","No 
",0.09080051905834549,1.0,1.0000000000000004,0.09080051905834549
4,0," 
",$\it{Other}$,0.13636648472982707,0.03333333333333333,0.03284111656620647,0.004545549490994236
5,0," 
","No 
",0.13636648472982707,0.9666666666666667,0.9671588834337932,0.13182093523883284
6,0," 

",$\it{Other}$,0.1708723355751681,0.0,0.0,0.0
7,0," 

","No 
",0.1708723355751681,1.0,1.0,0.1708723355751681
8,0, At,$\it{Other}$,0.125122130223108,0.0,0.0,0.0
9,0, At,"No 
",0.125122130223108,1.0,1.0000000000000004,0.125122130223108
10,0, First,$\it{Other}$,0.10010236396662406,0.0,0.0,0.0
11,0, First,"No 
",0.10010236396662406,1.0,0.9999999999999996,0.10010236396662406
12,0, Initially,$\it{Other}$,0.19696341524832772,0.0,0.0,0.0
13,0, Initially,"No 
",0.19696341524832772,1.0,1.0,0.19696341524832772
14,0, The,$\it{Other}$,0.10885841599907607,0.0,0.0,0.0
15,0, The,"No 
",0.10885841599907607,1.0,1.0000000000000004,0.10885841599907607
16,1, the,$\it{Other}$,0.1678041003144779,0.03333333333333333,0.029007892920458255,0.005593470010482596
17,1, the,"No 
",0.1678041003144779,0.9666666666666667,0.9709921070795416,0.1622106303039953
18,1,",",$\it{Other}$,0.8321958996855221,0.0,0.0,0.0
19,1,",","No 
",0.8321958996855221,1.0,0.9999999999999996,0.8321958996855221
20,10, Cr,$\it{Other}$,1.0,0.0,0.0,0.0
21,10, Cr,"No 
",1.0,1.0,1.0000000000000004,1.0
22,11,yst,$\it{Other}$,1.0,0.0,0.0,0.0
23,11,yst,"No 
",1.0,1.0,0.9999999999999996,1.0
24,12,ella,$\it{Other}$,1.0,0.0,0.0,0.0
25,12,ella,"No 
",1.0,1.0,1.0,1.0
26,13, flips,$\it{Other}$,1.0,0.0,0.0,0.0
27,13, flips,"No 
",1.0,1.0,1.0,1.0
28,14, it,$\it{Other}$,0.12486680920057781,0.0,0.0,0.0
29,14, it,"No 
",0.12486680920057781,1.0,1.0,0.12486680920057781
30,14, the,$\it{Other}$,0.8751331907994222,0.0,0.0,0.0
31,14, the,"No 
",0.8751331907994222,1.0,1.0,0.8751331907994222
32,15, coin,$\it{Other}$,1.0,0.0,0.0,0.0
33,15, coin,"No 
",1.0,1.0,1.0,1.0
34,16, over,$\it{Other}$,1.0,0.0,0.0,0.0
35,16, over,"No 
",1.0,1.0,1.0,1.0
36,17,",",$\it{Other}$,0.8172123531598904,0.0,0.0,0.0
37,17,",","No 
",0.8172123531598904,1.0,1.0,0.8172123531598904
38,17,.,$\it{Other}$,0.1827876468401096,0.0,0.0,0.0
39,17,.,"No 
",0.1827876468401096,1.0,1.0,0.1827876468401096
40,18, meaning,$\it{Other}$,0.24615700859982445,0.0,0.0,0.0
41,18, meaning,"No 
",0.24615700859982445,1.0,0.9999999999999996,0.24615700859982445
42,18, so,$\it{Other}$,0.27064104310488696,0.0,0.0,0.0
43,18, so,"No 
",0.27064104310488696,1.0,0.9589296610197554,0.27064104310488696
44,18, which,$\it{Other}$,0.48320194829528856,0.0,0.0,0.0
45,18, which,"No 
",0.48320194829528856,1.0,1.0,0.48320194829528856
46,19, means,$\it{Other}$,1.0,0.0,0.0,0.0
47,19, means,"No 
",1.0,1.0,0.9999999999999996,1.0
48,2, the,$\it{Other}$,1.0,0.0,0.0,0.0
49,2, the,"No 
",1.0,1.0,1.0000000000000004,1.0
50,20, it,$\it{Other}$,0.08673626542777003,0.0,0.0,0.0
51,20, it,"No 
",0.08673626542777003,1.0,1.0,0.08673626542777003
52,20, she,$\it{Other}$,0.4419415054430283,0.0,0.0,0.0
53,20, she,"No 
",0.4419415054430283,1.0,1.0000000000000004,0.4419415054430283
54,20, that,$\it{Other}$,0.21620581099103311,0.0,0.0,0.0
55,20, that,"No 
",0.21620581099103311,1.0,0.9999999999999996,0.21620581099103311
56,20, the,$\it{Other}$,0.25511641813816854,0.0,0.0,0.0
