,idx,tok,tok_p,ans,ans_raw,ans_lp,ans_lps,ext_len,ext_lp_raw,ext_lp
0,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],79,-23.723747544006997,-0.3003006018228734
1,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],111,-46.00644570839752,-0.41447248385943714
2,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],79,-35.982919392265025,-0.4554799923071522
3,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],138,-76.75522255229001,-0.5561972648716668
4,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],150,-65.62441274399683,-0.4374960849599789
5,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],113,-44.838985588578005,-0.3968051821998054
6,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],76,-21.696699746832,-0.28548289140568417
7,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],73,-35.910417306867984,-0.4919235247516162
8,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],73,-40.90857673078302,-0.5603914620655208
9,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],134,-44.3406796621325,-0.3309005944935261
10,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],96,-54.851099669324,-0.5713656215554583
11,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],104,-42.04927022023299,-0.40431990596377876
12,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],101,-26.287746017675502,-0.2602747130462921
13,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],159,-54.809112644051005,-0.3447114002770504
14,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],86,-37.829326512037014,-0.439875889674849
15,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],92,-58.07066868838651,-0.6312029205259403
16,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],75,-31.301816102048,-0.4173575480273067
17,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],87,-24.662759413407,-0.2834799932575517
18,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],76,-38.120663827858,-0.5015876819455
19,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],66,-21.357605426822488,-0.32360008222458314
20,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],132,-38.29185050763299,-0.2900897765729772
21,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],66,-25.787389305948004,-0.390718019787091
22,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],84,-30.040857277443,-0.3576292533028928
23,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],70,-28.930047828072993,-0.4132863975438999
24,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],55,-40.312199275246,-0.7329490777317454
25,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],90,-44.84585975232698,-0.4982873305814109
26,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],93,-18.081137945611,-0.19442083812484948
27,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],112,-55.2688452496593,-0.4934718325862437
28,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],107,-51.85303806795268,-0.4846078324107727
29,0," 

",0.2372654553223866,"Yes 
","Yes 
",,[None],101,-30.547390692,-0.3024494127920792
30,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],87,-46.603396383860996,-0.535671222803
31,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],73,-37.968775914822004,-0.5201202180112603
32,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],89,-34.706149012063015,-0.38995673047261814
33,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],105,-39.08272866191899,-0.37221646344684756
34,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],90,-29.290156773014985,-0.3254461863668332
35,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],101,-47.540468062687985,-0.47069770359097013
36,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],90,-20.597338311787993,-0.22885931457542216
37,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],92,-52.80420669540299,-0.5739587684282933
38,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],61,-18.753170256440004,-0.30742902059737715
39,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],64,-20.324775987541006,-0.3175746248053282
40,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],63,-22.126235484351998,-0.3512100870532063
41,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],58,-28.515511143504,-0.49164674385351725
42,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],76,-33.174351423874,-0.4365046239983421
43,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],77,-25.005365078047,-0.32474500101359743
44,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],119,-78.77103936508601,-0.6619415072696303
45,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],98,-40.197280416500014,-0.41017633078061233
46,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],84,-30.065099108725,-0.35791784653244046
47,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],109,-35.701059039191,-0.3275326517356973
48,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],108,-38.342146144930005,-0.35501987171231486
49,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],73,-22.291549760221002,-0.3053636953454932
50,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],67,-23.465928661398,-0.3502377412148955
51,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],84,-44.07829368818201,-0.5247415915259762
52,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],89,-30.870715624125992,-0.3468619733047864
53,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],88,-33.03284364680698,-0.3753732232591703
54,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],88,-37.056983402487994,-0.42110208411918176
55,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],69,-31.569844855784993,-0.45753398341717383
56,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],53,-26.391188950363997,-0.49794696132762256
57,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],101,-68.58260978593903,-0.6790357404548418
58,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],76,-21.44408488317201,-0.28215901162068435
59,0," 
",0.1930960587818759,"Yes 
","Yes 
",,[None],100,-30.901687091995996,-0.30901687091995994
60,0, Initially,0.16609607383487848,"Yes 
","Yes 
",,[None],59,-29.278900635334693,-0.496252553141266
61,0, Initially,0.16609607383487848,"Yes 
","Yes 
",,[None],66,-25.412926305912997,-0.3850443379683787
62,0, Initially,0.16609607383487848,"Yes 
","Yes 
",,[None],48,-28.162464147439,-0.5867180030716458
63,0, Initially,0.16609607383487848,"Yes 
","Yes 
",,[None],80,-27.02101836150599,-0.3377627295188249
64,0, Initially,0.16609607383487848,"Yes 
","Yes 
",,[None],35,-18.005891763537004,-0.5144540503867715
65,0, Initially,0.16609607383487848,"Yes 
","Yes 
",,[None],81,-23.568971903146,-0.29097496176723453
66,0, Initially,0.16609607383487848,"Yes 
","Yes 
",,[None],82,-55.90034306224799,-0.6817115007591219
67,0, Initially,0.16609607383487848,"Yes 
","Yes 
",,[None],69,-32.601316039384,-0.47248284115049277
