,idx,ans,weighted
0,0,"No 
",0.08568621655333554
1,0,"Yes 
",0.9143137834466644
2,1,"No 
",0.13636227997850764
3,1,"Yes 
",0.8636377200214924
4,2,"No 
",0.06666666666666667
5,2,"Yes 
",0.9333333333333333
6,3,"No 
",0.03333333333333333
7,3,"Yes 
",0.9666666666666667
8,4,"No 
",0.03333333333333333
9,4,"Yes 
",0.9666666666666667
10,5,"No 
",0.13333333333333333
11,5,"Yes 
",0.8666666666666667
12,6,"No 
",0.06666666666666667
13,6,"Yes 
",0.9333333333333333
14,7,"No 
",0.08124119296487516
15,7,"Yes 
",0.9187588070351249
16,8,"No 
",0.10038712010385105
17,8,"Yes 
",0.8996128798961489
18,9,"No 
",0.1
19,9,"Yes 
",0.9
20,10,"No 
",0.03333333333333333
21,10,"Yes 
",0.9666666666666667
22,11,"No 
",0.06666666666666667
23,11,"Yes 
",0.9333333333333333
24,12,"No 
",0.11582734189908139
25,12,"Yes 
",0.8841726581009186
26,13,"No 
",0.03333333333333333
27,13,"Yes 
",0.9666666666666667
28,14,"No 
",0.03333333333333333
29,14,"Yes 
",0.9666666666666667
30,15,"No 
",0.06666666666666667
31,15,"Yes 
",0.9333333333333333
32,16,"No 
",0.08233009367308167
33,16,"Yes 
",0.9176699063269185
34,17,"No 
",0.07766424426651192
35,17,"Yes 
",0.9223357557334881
36,18,"No 
",0.07293740224635692
37,18,"Yes 
",0.9270625977536431
38,19,"No 
",0.1
39,19,"Yes 
",0.9
40,20,"No 
",0.03333333333333333
41,20,"Yes 
",0.9666666666666667
42,21,"No 
",0.16666666666666666
43,21,"Yes 
",0.8333333333333334
44,22,"No 
",0.03333333333333333
45,22,"Yes 
",0.9666666666666667
46,23,"No 
",0.02022790218062545
47,23,"Yes 
",0.9797720978193745
48,24,"No 
",0.06666666666666667
49,24,"Yes 
",0.9333333333333333
50,25,"No 
",0.0
51,25,"Yes 
",1.0
52,26,"No 
",0.03333333333333333
53,26,"Yes 
",0.9666666666666667
54,27,"No 
",0.03333333333333333
55,27,"Yes 
",0.9666666666666667
56,28,"No 
",0.0
57,28,"Yes 
",1.0
58,29,"No 
",0.0
59,29,"Yes 
",1.0
60,30,"No 
",0.0029859448437574237
61,30,"Yes 
",0.9970140551562426
62,31,"No 
",0.06666666666666667
63,31,"Yes 
",0.9333333333333333
64,32,"No 
",0.0
65,32,"Yes 
",1.0
66,33,"No 
",0.0
67,33,"Yes 
",1.0
68,34,"No 
",0.03333333333333333
69,34,"Yes 
",0.9666666666666667
70,35,"No 
",0.0
71,35,"Yes 
",1.0
72,36,"No 
",0.03333333333333333
73,36,"Yes 
",0.9666666666666667
74,37,"No 
",0.04414215798941115
75,37,"Yes 
",0.9558578420105888
76,38,"No 
",0.060970970934117664
77,38,"Yes 
",0.9390290290658825
78,39,"No 
",0.0
79,39,"Yes 
",1.0
80,40,"No 
",0.024774801148290504
81,40,"Yes 
",0.9752251988517096
82,41,"No 
",0.03403633539748345
83,41,"Yes 
",0.9659636646025165
84,42,"No 
",0.0
85,42,"Yes 
",1.0
86,43,"No 
",0.0
87,43,"Yes 
",1.0
88,44,"No 
",0.0
89,44,"Yes 
",1.0
90,45,"No 
",0.024340765124914003
91,45,"Yes 
",0.9756592348750861
92,46,"No 
",0.08523801824381654
93,46,"Yes 
",0.9147619817561835
94,47,"No 
",0.016357109965668283
95,47,"Yes 
",0.9836428900343317
96,48,"No 
",0.004658761554120192
97,48,"Yes 
",0.9953412384458799
98,49,"No 
",0.0
99,49,"Yes 
",1.0
100,50,"No 
",0.0
101,50,"Yes 
",1.0
102,51,"No 
",0.0
103,51,"Yes 
",1.0
104,52,"No 
",0.0
105,52,"Yes 
",1.0
106,53,"No 
",0.0
107,53,"Yes 
",1.0
108,54,"No 
",0.0
109,54,"Yes 
",1.0
