,idx,ans,weighted
0,0,$\it{Other}$,0.12866542323635816
1,0,5.0,0.8713345767636419
2,1,$\it{Other}$,0.07887552759684613
3,1,5.0,0.921124472403154
4,2,$\it{Other}$,0.10277182299619878
5,2,5.0,0.8972281770038013
6,3,$\it{Other}$,0.06759999340937005
7,3,5.0,0.9324000065906299
8,4,$\it{Other}$,0.02168116646371382
9,4,5.0,0.9783188335362862
10,5,$\it{Other}$,0.1
11,5,5.0,0.9
12,6,$\it{Other}$,0.020197613140393755
13,6,5.0,0.9798023868596062
14,7,$\it{Other}$,0.01720604775132603
15,7,5.0,0.9827939522486739
16,8,$\it{Other}$,0.0462128385380324
17,8,5.0,0.9537871614619676
18,9,$\it{Other}$,0.03333333333333333
19,9,5.0,0.9666666666666667
20,10,$\it{Other}$,0.06666666666666667
21,10,5.0,0.9333333333333333
22,11,$\it{Other}$,0.03333333333333333
23,11,5.0,0.9666666666666667
24,12,$\it{Other}$,0.026622931061252672
25,12,5.0,0.9733770689387473
26,13,$\it{Other}$,0.03333333333333333
27,13,5.0,0.9666666666666667
28,14,$\it{Other}$,0.06666666666666667
29,14,5.0,0.9333333333333333
30,15,$\it{Other}$,0.08593387571142048
31,15,5.0,0.9140661242885795
32,16,$\it{Other}$,0.004153491787420471
33,16,5.0,0.9958465082125797
34,17,$\it{Other}$,0.004830103907217526
35,17,5.0,0.9951698960927824
36,18,$\it{Other}$,0.0
37,18,5.0,1.0
38,19,$\it{Other}$,0.0
39,19,5.0,1.0
40,20,$\it{Other}$,0.0
41,20,5.0,1.0
42,21,$\it{Other}$,0.0
43,21,5.0,1.0
44,22,$\it{Other}$,0.0
45,22,5.0,0.9999999999999999
46,23,$\it{Other}$,0.03333333333333333
47,23,5.0,0.9666666666666667
48,24,$\it{Other}$,0.0
49,24,5.0,1.0
50,25,$\it{Other}$,0.002584349086055174
51,25,5.0,0.9974156509139449
52,26,$\it{Other}$,0.00675813081321846
53,26,5.0,0.9932418691867816
54,27,$\it{Other}$,0.028316152361160855
55,27,5.0,0.9716838476388391
56,28,$\it{Other}$,0.06666666666666667
57,28,5.0,0.9333333333333333
58,29,$\it{Other}$,0.0
59,29,5.0,1.0
60,30,$\it{Other}$,0.03333333333333333
61,30,5.0,0.9666666666666667
62,31,$\it{Other}$,0.0
63,31,5.0,1.0
64,32,$\it{Other}$,0.01737307296320576
65,32,5.0,0.9826269270367942
66,33,$\it{Other}$,0.03333333333333333
67,33,5.0,0.9666666666666667
68,34,$\it{Other}$,0.0
69,34,5.0,1.0
70,35,$\it{Other}$,0.0
71,35,5.0,1.0
72,36,$\it{Other}$,0.0
73,36,5.0,1.0
74,37,$\it{Other}$,0.0
75,37,5.0,1.0
76,38,$\it{Other}$,0.0
77,38,5.0,1.0
78,39,$\it{Other}$,0.0
79,39,5.0,1.0
80,40,$\it{Other}$,0.0
81,40,5.0,1.0
82,41,$\it{Other}$,0.0
83,41,5.0,1.0
84,42,$\it{Other}$,0.06666666666666667
85,42,5.0,0.9333333333333333
86,43,$\it{Other}$,0.0
87,43,5.0,1.0
88,44,$\it{Other}$,0.0
89,44,5.0,1.0
90,45,$\it{Other}$,0.0
91,45,5.0,1.0000000000000002
92,46,$\it{Other}$,0.030234660588784813
93,46,5.0,0.9697653394112153
94,47,$\it{Other}$,0.0
95,47,5.0,1.0
96,48,$\it{Other}$,0.0
97,48,5.0,1.0
98,49,$\it{Other}$,0.0
99,49,5.0,1.0
100,50,$\it{Other}$,0.0
101,50,5.0,1.0
102,51,$\it{Other}$,0.0
103,51,5.0,1.0
