,idx,tok,ans,tok_p,ans_mean,ext_p,weighted
0,0,"

",$\it{Other}$,0.0636040606870737,0.0,0.0,0.0
1,0,"

",480.0,0.0636040606870737,1.0,1.0,0.0636040606870737
2,0," 
",$\it{Other}$,0.2394685075184442,0.0,0.0,0.0
3,0," 
",480.0,0.2394685075184442,1.0,1.0,0.2394685075184442
4,0," 

",$\it{Other}$,0.36572230488176116,0.03333333333333333,0.03174391181002313,0.012190743496058705
5,0," 

",480.0,0.36572230488176116,0.9666666666666667,0.9682560881899771,0.35353156138570246
6,0, First,$\it{Other}$,0.19772334686446394,0.0,0.0,0.0
7,0, First,480.0,0.19772334686446394,1.0,1.0,0.19772334686446394
8,0, Mark,$\it{Other}$,0.06472605437568943,0.0,0.0,0.0
9,0, Mark,480.0,0.06472605437568943,1.0,1.0000000000000004,0.06472605437568943
10,0, We,$\it{Other}$,0.06875572567256755,0.0,0.0,0.0
11,0, We,480.0,0.06875572567256755,1.0,1.0,0.06875572567256755
12,1,1,$\it{Other}$,0.36097439794287806,0.0,0.0,0.0
13,1,1,480.0,0.36097439794287806,1.0,1.0,0.36097439794287806
14,1,First,$\it{Other}$,0.2704305817582664,0.0,0.0,0.0
15,1,First,480.0,0.2704305817582664,1.0,1.0,0.2704305817582664
16,1,Mark,$\it{Other}$,0.1425297337720518,0.0,0.0,0.0
17,1,Mark,480.0,0.1425297337720518,1.0,1.0,0.1425297337720518
18,1,Step,$\it{Other}$,0.22606528652680366,0.0,0.0,0.0
19,1,Step,480.0,0.22606528652680366,1.0,1.0,0.22606528652680366
20,10, much,$\it{Other}$,1.0,0.03333333333333333,0.032165966068018366,0.03333333333333333
21,10, much,480.0,1.0,0.9666666666666667,0.967834033931982,0.9666666666666667
22,100, This,$\it{Other}$,1.0,0.0,0.0,0.0
23,100, This,480.0,1.0,1.0,1.0000000000000004,1.0
24,101, gives,$\it{Other}$,1.0,0.0,0.0,0.0
25,101, gives,480.0,1.0,1.0,1.0,1.0
26,102, us,$\it{Other}$,1.0,0.0,0.0,0.0
