,idx,tok,ans,tok_p,ans_mean,ext_p,weighted
0,0," 
",$\it{Other}$,0.12631365879591036,0.0,0.0,0.0
1,0," 
",Finish: length,0.12631365879591036,1.0,1.0,0.12631365879591036
2,0," 

",$\it{Other}$,0.3802926048445861,0.0,0.0,0.0
3,0," 

",Finish: length,0.3802926048445861,1.0,1.0,0.3802926048445861
4,0, First,$\it{Other}$,0.4933937363595035,0.1,0.09604821781839848,0.049339373635950354
5,0, First,Finish: length,0.4933937363595035,0.9,0.903951782181602,0.44405436272355314
6,1,",",$\it{Other}$,1.0,0.03333333333333333,0.03731396234676475,0.03333333333333333
7,1,",",Finish: length,1.0,0.9666666666666667,0.9626860376532353,0.9666666666666667
8,10, Flat,$\it{Other}$,1.0,0.06666666666666667,0.07368049872403482,0.06666666666666667
9,10, Flat,Finish: length,1.0,0.9333333333333333,0.926319501275965,0.9333333333333333
10,100, nuclear,$\it{Other}$,0.05337538050760904,0.13333333333333333,0.12158408376215875,0.007116717401014538
11,100, nuclear,Finish: length,0.05337538050760904,0.8666666666666667,0.8784159162378411,0.0462586631065945
12,100, the,$\it{Other}$,0.946624619492391,0.03333333333333333,0.030521274488641902,0.031554153983079695
13,100, the,Finish: length,0.946624619492391,0.9666666666666667,0.9694787255113585,0.9150704655093113
14,101, Max,$\it{Other}$,1.0,0.06666666666666667,0.061987388060167944,0.06666666666666667
15,101, Max,Finish: length,1.0,0.9333333333333333,0.9380126119398319,0.9333333333333333
16,102,ey,$\it{Other}$,1.0,0.1,0.10092731100294262,0.1
17,102,ey,Finish: length,1.0,0.9,0.8990726889970574,0.9
18,103, Flat,$\it{Other}$,1.0,0.06666666666666667,0.0678186913947059,0.06666666666666667
19,103, Flat,Finish: length,1.0,0.9333333333333333,0.9321813086052942,0.9333333333333333
20,104, facility,$\it{Other}$,1.0,0.0,0.0,0.0
21,104, facility,Finish: length,1.0,1.0,1.0,1.0
22,105, on,$\it{Other}$,1.0,0.0,0.0,0.0
23,105, on,Finish: length,1.0,1.0,0.9999999999999996,1.0
24,106, the,$\it{Other}$,1.0,0.06666666666666667,0.06219586999550037,0.06666666666666667
25,106, the,Finish: length,1.0,0.9333333333333333,0.9378041300044997,0.9333333333333333
26,107, community,$\it{Other}$,0.06191189797170804,0.1,0.09579144004608318,0.006191189797170805
27,107, community,Finish: length,0.06191189797170804,0.9,0.9042085599539171,0.05572070817453724
28,107, local,$\it{Other}$,0.50580224564282,0.0,0.0,0.0
29,107, local,Finish: length,0.50580224564282,1.0,1.0,0.50580224564282
30,107, surrounding,$\it{Other}$,0.432285856385472,0.03333333333333333,0.03224631101414534,0.014409528546182401
31,107, surrounding,Finish: length,0.432285856385472,0.9666666666666667,0.9677536889858547,0.41787632783928963
32,108, community,$\it{Other}$,1.0,0.0,0.0,0.0
33,108, community,Finish: length,1.0,1.0,1.0,1.0
34,109, and,$\it{Other}$,0.9417670239356392,0.03333333333333333,0.03209406762056062,0.03139223413118797
35,109, and,Finish: length,0.9417670239356392,0.9666666666666667,0.9679059323794399,0.9103747898044512
36,109,",",$\it{Other}$,0.058232976064360814,0.03333333333333333,0.03500880933196093,0.0019410992021453605
37,109,",",Finish: length,0.058232976064360814,0.9666666666666667,0.9649911906680391,0.056291876862215456
38,11, facility,$\it{Other}$,1.0,0.0,0.0,0.0
39,11, facility,Finish: length,1.0,1.0,1.0,1.0
40,110, its,$\it{Other}$,0.05533836687594571,0.03333333333333333,0.03659055310448545,0.0018446122291981904
41,110, its,Finish: length,0.05533836687594571,0.9666666666666667,0.9634094468955147,0.05349375464674752
42,110, the,$\it{Other}$,0.9446616331240543,0.03333333333333333,0.03106618998697059,0.03148872110413514
43,110, the,Finish: length,0.9446616331240543,0.9666666666666667,0.9689338100130289,0.9131729120199191
44,111, environment,$\it{Other}$,0.7964666039177021,0.0,0.0,0.0
45,111, environment,Finish: length,0.7964666039177021,1.0,1.0,0.7964666039177021
46,111, environmental,$\it{Other}$,0.20353339608229792,0.0,0.0,0.0
47,111, environmental,Finish: length,0.20353339608229792,1.0,1.0,0.20353339608229792
48,112,",",$\it{Other}$,0.057441000691561654,0.0,0.0,0.0
49,112,",",Finish: length,0.057441000691561654,1.0,1.0,0.057441000691561654
50,112,.,$\it{Other}$,0.9425589993084383,0.03333333333333333,0.03157695943579231,0.031418633310281274
51,112,.,Finish: length,0.9425589993084383,0.9666666666666667,0.9684230405642078,0.9111403659981571
52,113, It,$\it{Other}$,0.8633961131101154,0.0,0.0,0.0
53,113, It,Finish: length,0.8633961131101154,1.0,1.0,0.8633961131101154
54,113, The,$\it{Other}$,0.1366038868898845,0.03333333333333333,0.032528788418373845,0.004553462896329483
55,113, The,Finish: length,0.1366038868898845,0.9666666666666667,0.9674712115816266,0.13205042399355502
56,114, also,$\it{Other}$,0.3900932406994989,0.0,0.0,0.0
57,114, also,Finish: length,0.3900932406994989,1.0,1.0,0.3900932406994989
58,114, del,$\it{Other}$,0.3863508866302239,0.03333333333333333,0.03381538398484985,0.01287836288767413
59,114, del,Finish: length,0.3863508866302239,0.9666666666666667,0.9661846160151496,0.37347252374254974
60,114, examines,$\it{Other}$,0.07166073648146497,0.03333333333333333,0.03708586414395912,0.002388691216048832
61,114, examines,Finish: length,0.07166073648146497,0.9666666666666667,0.9629141358560409,0.06927204526541614
62,114, tells,$\it{Other}$,0.1518951361888122,0.06666666666666667,0.06372534234285394,0.01012634241258748
63,114, tells,Finish: length,0.1518951361888122,0.9333333333333333,0.9362746576571462,0.14176879377622473
64,115, del,$\it{Other}$,0.9192124261375273,0.03333333333333333,0.029639382697885335,0.030640414204584243
65,115, del,Finish: length,0.9192124261375273,0.9666666666666667,0.9703606173021149,0.8885720119329431
66,115, examines,$\it{Other}$,0.08078757386247268,0.06666666666666667,0.05452508508567324,0.005385838257498179
67,115, examines,Finish: length,0.08078757386247268,0.9333333333333333,0.9454749149143262,0.0754017356049745
68,116,ves,$\it{Other}$,1.0,0.03333333333333333,0.02924252155865955,0.03333333333333333
69,116,ves,Finish: length,1.0,0.9666666666666667,0.9707574784413401,0.9666666666666667
70,117, into,$\it{Other}$,1.0,0.03333333333333333,0.03224573726722624,0.03333333333333333
71,117, into,Finish: length,1.0,0.9666666666666667,0.9677542627327739,0.9666666666666667
72,118, the,$\it{Other}$,1.0,0.0,0.0,0.0
73,118, the,Finish: length,1.0,1.0,1.0,1.0
74,119, broader,$\it{Other}$,0.09548384350360276,0.06666666666666667,0.06796638389655973,0.00636558956690685
75,119, broader,Finish: length,0.09548384350360276,0.9333333333333333,0.9320336161034398,0.08911825393669591
76,119, controversial,$\it{Other}$,0.10286663621204609,0.06666666666666667,0.058298658965931935,0.006857775747469739
77,119, controversial,Finish: length,0.10286663621204609,0.9333333333333333,0.941701341034068,0.09600886046457635
78,119, history,$\it{Other}$,0.0638271440501461,0.03333333333333333,0.03199214804093637,0.0021275714683382033
79,119, history,Finish: length,0.0638271440501461,0.9666666666666667,0.9680078519590636,0.061699572581807895
80,119, larger,$\it{Other}$,0.5591953722377164,0.06666666666666667,0.06665953483567959,0.03727969148251443
81,119, larger,Finish: length,0.5591953722377164,0.9333333333333333,0.9333404651643201,0.521915680755202
82,119, political,$\it{Other}$,0.17862700399648868,0.0,0.0,0.0
83,119, political,Finish: length,0.17862700399648868,1.0,1.0,0.17862700399648868
84,12, is,$\it{Other}$,1.0,0.06666666666666667,0.06680284557306175,0.06666666666666667
85,12, is,Finish: length,1.0,0.9333333333333333,0.9331971544269381,0.9333333333333333
86,120, issue,$\it{Other}$,0.451796973350855,0.0,0.0,0.0
87,120, issue,Finish: length,0.451796973350855,1.0,1.0,0.451796973350855
88,120, issues,$\it{Other}$,0.548203026649145,0.0,0.0,0.0
89,120, issues,Finish: length,0.548203026649145,1.0,1.0000000000000004,0.548203026649145
90,121, of,$\it{Other}$,0.8411463572481785,0.06666666666666667,0.06940781238045368,0.056076423816545234
91,121, of,Finish: length,0.8411463572481785,0.9333333333333333,0.9305921876195465,0.7850699334316333
92,121, surrounding,$\it{Other}$,0.15885364275182148,0.0,0.0,0.0
93,121, surrounding,Finish: length,0.15885364275182148,1.0,1.0000000000000004,0.15885364275182148
94,122, nuclear,$\it{Other}$,1.0,0.03333333333333333,0.024618210163275287,0.03333333333333333
95,122, nuclear,Finish: length,1.0,0.9666666666666667,0.9753817898367245,0.9666666666666667
96,123, waste,$\it{Other}$,1.0,0.0,0.0,0.0
97,123, waste,Finish: length,1.0,1.0,1.0,1.0
98,124, and,$\it{Other}$,0.08807709801906884,0.03333333333333333,0.03183210954621976,0.0029359032673022946
99,124, and,Finish: length,0.08807709801906884,0.9666666666666667,0.96816789045378,0.08514119475176654
100,124, disposal,$\it{Other}$,0.7870077097653166,0.03333333333333333,0.030108716794075615,0.026233590325510554
101,124, disposal,Finish: length,0.7870077097653166,0.9666666666666667,0.9698912832059244,0.7607741194398061
102,124, management,$\it{Other}$,0.12491519221561456,0.03333333333333333,0.03167469044535187,0.004163839740520485
103,124, management,Finish: length,0.12491519221561456,0.9666666666666667,0.9683253095546481,0.12075135247509408
104,125, and,$\it{Other}$,1.0,0.0,0.0,0.0
105,125, and,Finish: length,1.0,1.0,1.0,1.0
106,126, environmental,$\it{Other}$,0.09839698132591726,0.0,0.0,0.0
107,126, environmental,Finish: length,0.09839698132591726,1.0,1.0,0.09839698132591726
108,126, government,$\it{Other}$,0.08413450144919356,0.1,0.09559415127166847,0.008413450144919355
109,126, government,Finish: length,0.08413450144919356,0.9,0.9044058487283312,0.0757210513042742
110,126, its,$\it{Other}$,0.10832217907819305,0.03333333333333333,0.03129679647998869,0.003610739302606435
111,126, its,Finish: length,0.10832217907819305,0.9666666666666667,0.9687032035200113,0.10471143977558663
112,126, the,$\it{Other}$,0.7091463381466961,0.03333333333333333,0.029975551542761398,0.023638211271556537
113,126, the,Finish: length,0.7091463381466961,0.9666666666666667,0.9700244484572385,0.6855081268751396
114,127, consequences,$\it{Other}$,0.6622791774845727,0.0,0.0,0.0
115,127, consequences,Finish: length,0.6622791774845727,1.0,0.9999999999999996,0.6622791774845727
116,127, government,$\it{Other}$,0.3377208225154273,0.06666666666666667,0.054213599085722014,0.022514721501028484
117,127, government,Finish: length,0.3377208225154273,0.9333333333333333,0.9457864009142782,0.31520610101439883
118,128, of,$\it{Other}$,1.0,0.06666666666666667,0.06802408145349469,0.06666666666666667
119,128, of,Finish: length,1.0,0.9333333333333333,0.9319759185465053,0.9333333333333333
120,129, government,$\it{Other}$,0.10046172259230801,0.0,0.0,0.0
121,129, government,Finish: length,0.10046172259230801,1.0,1.0,0.10046172259230801
122,129, human,$\it{Other}$,0.40737045700533425,0.06666666666666667,0.06258081521991445,0.02715803046702228
123,129, human,Finish: length,0.40737045700533425,0.9333333333333333,0.9374191847800856,0.380212426538312
124,129, industrial,$\it{Other}$,0.07115207481303845,0.0,0.0,0.0
125,129, industrial,Finish: length,0.07115207481303845,1.0,1.0,0.07115207481303845
126,129, nuclear,$\it{Other}$,0.15009580425062208,0.0,0.0,0.0
127,129, nuclear,Finish: length,0.15009580425062208,1.0,1.0,0.15009580425062208
128,129, our,$\it{Other}$,0.0828013267837823,0.06666666666666667,0.06396785641660249,0.0055200884522521535
129,129, our,Finish: length,0.0828013267837823,0.9333333333333333,0.9360321435833976,0.07728123833153014
130,129, short,$\it{Other}$,0.061689842197182335,0.0,0.0,0.0
131,129, short,Finish: length,0.061689842197182335,1.0,1.0,0.061689842197182335
132,129, the,$\it{Other}$,0.12642877235773264,0.03333333333333333,0.034102021660929044,0.004214292411924421
133,129, the,Finish: length,0.12642877235773264,0.9666666666666667,0.9658979783390713,0.12221447994580822
134,13,.,$\it{Other}$,1.0,0.03333333333333333,0.03156622528625512,0.03333333333333333
135,13,.,Finish: length,1.0,0.9666666666666667,0.9684337747137448,0.9666666666666667
136,130, actions,$\it{Other}$,0.9154086420958262,0.06666666666666667,0.06343329296378347,0.06102724280638841
137,130, actions,Finish: length,0.9154086420958262,0.9333333333333333,0.9365667070362166,0.8543813992894378
138,130, activities,$\it{Other}$,0.08459135790417387,0.06666666666666667,0.06118086326363104,0.005639423860278258
139,130, activities,Finish: length,0.08459135790417387,0.9333333333333333,0.9388191367363689,0.07895193404389561
140,131, on,$\it{Other}$,1.0,0.0,0.0,0.0
141,131, on,Finish: length,1.0,1.0,1.0,1.0
142,132, the,$\it{Other}$,1.0,0.06666666666666667,0.07065984204266954,0.06666666666666667
143,132, the,Finish: length,1.0,0.9333333333333333,0.9293401579573305,0.9333333333333333
144,133, environment,$\it{Other}$,0.3304570911338143,0.0,0.0,0.0
145,133, environment,Finish: length,0.3304570911338143,1.0,1.0,0.3304570911338143
146,133, natural,$\it{Other}$,0.12083600801862676,0.03333333333333333,0.03299791160109452,0.004027866933954225
147,133, natural,Finish: length,0.12083600801862676,0.9666666666666667,0.967002088398906,0.11680814108467254
148,133, planet,$\it{Other}$,0.5487069008475589,0.06666666666666667,0.06357858709277836,0.03658046005650393
149,133, planet,Finish: length,0.5487069008475589,0.9333333333333333,0.9364214129072215,0.512126440791055
150,134,.,$\it{Other}$,0.7828518992259016,0.03333333333333333,0.03459173187060644,0.02609506330753005
151,134,.,Finish: length,0.7828518992259016,0.9666666666666667,0.9654082681293941,0.7567568359183715
152,134,".

",$\it{Other}$,0.21714810077409835,0.03333333333333333,0.02039229389279815,0.0072382700258032786
153,134,".

",Finish: length,0.21714810077409835,0.9666666666666667,0.9796077061072019,0.20990983074829508
154,135," 

",$\it{Other}$,1.0,0.03333333333333333,0.03562590945308293,0.03333333333333333
155,135," 

",Finish: length,1.0,0.9666666666666667,0.964374090546917,0.9666666666666667
156,136,In,$\it{Other}$,0.08445715356086257,0.0,0.0,0.0
157,136,In,Finish: length,0.08445715356086257,1.0,0.9999999999999996,0.08445715356086257
