,idx,ans,weighted
0,0,$\it{Other}$,0.2954705647986658
1,0,adea,0.003305580456379964
2,0,jde,0.013195166690823854
3,0,jdea,0.6799783274968914
4,0,jdeea,0.003305580456379964
5,0,jeaa,0.004744780100859061
6,1,$\it{Other}$,0.3416522357594235
7,1,adea,0.0
8,1,jde,0.01084011223283275
9,1,jdea,0.6258274275420781
10,1,jdeea,0.01084011223283275
11,1,jeaa,0.01084011223283275
12,2,$\it{Other}$,0.4430755726074752
13,2,adea,0.03333333333333333
14,2,jde,0.0
15,2,jdea,0.5235910940591916
16,2,jdeea,0.0
17,2,jeaa,0.0
18,3,$\it{Other}$,0.35747999739307024
19,3,adea,0.0
20,3,jde,0.01985617253838804
21,3,jdea,0.6132472976619026
22,3,jdeea,0.009416532406639162
23,3,jeaa,0.0
24,4,$\it{Other}$,0.4666666666666667
25,4,adea,0.03333333333333333
26,4,jde,0.0
27,4,jdea,0.5
28,4,jdeea,0.0
29,4,jeaa,0.0
30,5,$\it{Other}$,0.36490857232372576
31,5,adea,0.0
32,5,jde,0.0
33,5,jdea,0.6154430465448626
34,5,jdeea,0.019648381131411808
35,5,jeaa,0.0
36,6,$\it{Other}$,0.5666666666666667
37,6,adea,0.0
38,6,jde,0.03333333333333333
39,6,jdea,0.36666666666666664
40,6,jdeea,0.0
41,6,jeaa,0.03333333333333333
42,7,$\it{Other}$,0.5
43,7,adea,0.0
44,7,jde,0.03333333333333333
45,7,jdea,0.43333333333333335
46,7,jdeea,0.03333333333333333
47,7,jeaa,0.0
48,8,$\it{Other}$,0.4134529845344402
49,8,adea,0.005414780831569997
50,8,jde,0.016489144067051646
51,8,jdea,0.5435674611052739
52,8,jdeea,0.018385597149990548
53,8,jeaa,0.0026900323116736814
54,9,$\it{Other}$,0.3150228469382584
55,9,adea,0.0
56,9,jde,0.0025914234440020264
57,9,jdea,0.6678771172451372
58,9,jdeea,0.003972396309533391
59,9,jeaa,0.010536216063068808
60,10,$\it{Other}$,0.225525184940558
61,10,adea,0.0
62,10,jde,0.08824529093539754
63,10,jdea,0.6587735453230124
64,10,jdeea,0.027455978801032097
65,10,jeaa,0.0
66,11,$\it{Other}$,0.23333333333333334
67,11,adea,0.0
68,11,jde,0.03333333333333333
69,11,jdea,0.7
70,11,jdeea,0.03333333333333333
71,11,jeaa,0.0
72,12,$\it{Other}$,0.23333333333333334
73,12,adea,0.0
74,12,jde,0.0
75,12,jdea,0.7666666666666667
76,12,jdeea,0.0
77,12,jeaa,0.0
78,13,$\it{Other}$,0.16666666666666666
79,13,adea,0.03333333333333333
80,13,jde,0.0
81,13,jdea,0.8
82,13,jdeea,0.0
83,13,jeaa,0.0
84,14,$\it{Other}$,0.13333333333333333
85,14,adea,0.0
86,14,jde,0.0
87,14,jdea,0.8
88,14,jdeea,0.03333333333333333
89,14,jeaa,0.03333333333333333
90,15,$\it{Other}$,0.1950382013643774
91,15,adea,0.014885395906867927
92,15,jde,0.0
93,15,jdea,0.7333333333333334
94,15,jdeea,0.05674306939542139
95,15,jeaa,0.0
96,16,$\it{Other}$,0.2768254489849571
97,16,adea,0.11301576869675244
98,16,jde,0.0
99,16,jdea,0.6050793911591452
100,16,jdeea,0.0
101,16,jeaa,0.005079391159145222
102,17,$\it{Other}$,0.13333333333333333
103,17,adea,0.0
104,17,jde,0.0
105,17,jdea,0.7666666666666667
106,17,jdeea,0.1
107,17,jeaa,0.0
108,18,$\it{Other}$,0.2370163927814802
109,18,adea,0.0
110,18,jde,0.01850819639074011
111,18,jdea,0.6666666666666665
112,18,jdeea,0.04815847027592655
113,18,jeaa,0.029650273885186436
114,19,$\it{Other}$,0.2033053863659967
115,19,adea,0.022004508818449325
