,idx,ans,weighted
0,0,$\it{Other}$,0.007431887961403764
1,0,A,0.1430340835927921
2,0,B,0.1375208062467389
3,0,C,0.029786229564788855
4,0,D,0.6822269926342763
5,1,$\it{Other}$,0.008344045053934018
6,1,A,0.13823238421905634
7,1,B,0.16823394731645538
8,1,C,0.012568514268134687
9,1,D,0.6726211091424196
10,2,$\it{Other}$,0.0
11,2,A,0.11624276795527577
12,2,B,0.19415436674131142
13,2,C,0.08375723204472423
14,2,D,0.6058456332586886
15,3,$\it{Other}$,0.013482383091341555
16,3,A,0.1622424988007295
17,3,B,0.1452497949756721
18,3,C,0.009802465638815993
19,3,D,0.6692228574934409
20,4,$\it{Other}$,0.0
21,4,A,0.13189408137206096
22,4,B,0.2862523739786866
23,4,C,0.012515627522813955
24,4,D,0.5693379171264384
25,5,$\it{Other}$,0.0
26,5,A,0.1
27,5,B,0.36666666666666664
28,5,C,0.0
29,5,D,0.5333333333333333
30,6,$\it{Other}$,0.0
31,6,A,0.04116548104973819
32,6,B,0.19216785228359515
33,6,C,0.003916073858202429
34,6,D,0.7627505928084644
35,7,$\it{Other}$,0.0
36,7,A,0.1473782235041753
37,7,B,0.2644685088553106
38,7,C,0.027280154252254864
39,7,D,0.5608731133882592
40,8,$\it{Other}$,0.004537402441247758
41,8,A,0.1432563631000755
42,8,B,0.043256363100075496
43,8,C,0.01530865709223656
44,8,D,0.7936412142663647
45,9,$\it{Other}$,0.0
46,9,A,0.1
47,9,B,0.16666666666666666
48,9,C,0.03333333333333333
49,9,D,0.7
50,10,$\it{Other}$,0.0
51,10,A,0.16666666666666666
52,10,B,0.13333333333333333
53,10,C,0.0
54,10,D,0.7
55,11,$\it{Other}$,0.0
56,11,A,0.1
57,11,B,0.1
58,11,C,0.03333333333333333
59,11,D,0.7666666666666667
60,12,$\it{Other}$,0.03132792623494106
61,12,A,0.16666666666666666
62,12,B,0.10601622129517682
63,12,C,0.03333333333333333
64,12,D,0.662655852469882
65,13,$\it{Other}$,0.0
66,13,A,0.09004786473231005
67,13,B,0.10995213526768993
68,13,C,0.053237603868713214
69,13,D,0.7467623961312868
70,14,$\it{Other}$,0.0
71,14,A,0.06384268778892059
72,14,B,0.2
73,14,C,0.0
74,14,D,0.7361573122110794
75,15,$\it{Other}$,0.0
76,15,A,0.06666666666666667
77,15,B,0.2
78,15,C,0.0
79,15,D,0.7333333333333333
80,16,$\it{Other}$,0.0
81,16,A,0.06851561760676238
82,16,B,0.19630209811980856
83,16,C,0.0
84,16,D,0.7351822842734289
85,17,$\it{Other}$,0.004474100360055447
86,17,A,0.10022450969689431
87,17,B,0.134389654492943
88,17,C,0.005020512874183704
89,17,D,0.7558912225759236
90,18,$\it{Other}$,0.0
91,18,A,0.23333333333333334
92,18,B,0.23333333333333334
93,18,C,0.0
94,18,D,0.5333333333333333
95,19,$\it{Other}$,0.0
96,19,A,0.19111757357947817
97,19,B,0.19510582510202248
98,19,C,0.04251773421233291
99,19,D,0.5712588671061665
100,20,$\it{Other}$,0.0
101,20,A,0.23333333333333334
102,20,B,0.03333333333333333
103,20,C,0.1
104,20,D,0.6333333333333333
105,21,$\it{Other}$,0.0
106,21,A,0.16226351694175126
107,21,B,0.2
108,21,C,0.06446509180420898
109,21,D,0.5732713912540398
110,22,$\it{Other}$,0.0037811378643668177
111,22,A,0.17532587538582203
112,22,B,0.06224316354629529
113,22,C,0.05289186543889701
114,22,D,0.7057579577646188
115,23,$\it{Other}$,0.0
116,23,A,0.03333333333333333
117,23,B,0.2
118,23,C,0.03333333333333333
119,23,D,0.7333333333333333
120,24,$\it{Other}$,0.0
121,24,A,0.06666666666666667
122,24,B,0.2
123,24,C,0.0
124,24,D,0.7333333333333333
125,25,$\it{Other}$,0.0
126,25,A,0.0622083079800877
127,25,B,0.1
128,25,C,0.02887497464675437
129,25,D,0.808916717373158
130,26,$\it{Other}$,0.0
131,26,A,0.0
132,26,B,0.2
133,26,C,0.03333333333333333
134,26,D,0.7666666666666667
135,27,$\it{Other}$,0.0
136,27,A,0.16666666666666666
137,27,B,0.1
138,27,C,0.0
139,27,D,0.7333333333333333
140,28,$\it{Other}$,0.0
141,28,A,0.11714756060684658
142,28,B,0.061271409091171083
143,28,C,0.02793807575783775
144,28,D,0.7936429545441445
