,idx,tok,tok_p,ans,ans_raw,ans_lp,ans_lps,ext_len,ext_lp_raw,ext_lp
0,0, He,0.7621880644548522,2.0,2,-0.00035250463,[-0.00035250463],118,-107.31974216954198,-0.9094893404198473
1,0, He,0.7621880644548522,2.0,2,-0.00016432605,[-0.00016432605],135,-137.56958845145357,-1.0190339885292858
2,0, He,0.7621880644548522,2.0,2,-0.0068250094,[-0.0068250094],107,-74.8073228754186,-0.699133858648772
3,0, He,0.7621880644548522,2.0,2,-0.003727869,[-0.003727869],95,-74.86230444375077,-0.7880242573026397
4,0, He,0.7621880644548522,2.0,2,-0.00020175234,[-0.00020175234],98,-68.7354738162076,-0.7013823858796694
5,0, He,0.7621880644548522,2.0,2,-0.00026157423,[-0.00026157423],111,-97.24375651381249,-0.8760698785028151
6,0, He,0.7621880644548522,2.0,2,-0.007967748,[-0.007967748],95,-81.16641773663044,-0.8543833445961099
7,0, He,0.7621880644548522,2.0,2,-0.0002605014,[-0.0002605014],79,-45.08123551545471,-0.5706485508285406
8,0, He,0.7621880644548522,2.0,2,-0.0005159787,[-0.0005159787],93,-65.22863673257503,-0.7013831906728498
9,0, He,0.7621880644548522,2.0,2,-0.00072720577,[-0.00072720577],85,-50.509073986271005,-0.5942243998384824
10,0, He,0.7621880644548522,2.0,2,-0.00014776041,[-0.00014776041],102,-84.29452161875858,-0.8264168786152802
11,0, He,0.7621880644548522,2.0,2,-0.0019219682,[-0.0019219682],140,-110.731618244821,-0.7909401303201499
12,0, He,0.7621880644548522,2.0,2,-0.16416745,[-0.16416745],106,-75.25334144410301,-0.7099371834349341
13,0, He,0.7621880644548522,2.0,2,-0.00029530155,[-0.00029530155],119,-86.86609873981159,-0.7299672163009377
14,0, He,0.7621880644548522,2.0,2,-0.00032879043,[-0.00032879043],99,-76.81891643020441,-0.7759486508101456
15,0, He,0.7621880644548522,2.0,2,-0.0003038842,[-0.0003038842],138,-88.78975327649071,-0.6434040092499327
16,0, He,0.7621880644548522,2.0,2,-0.0001409658,[-0.0001409658],115,-74.944570201717,-0.6516919147975392
17,0, He,0.7621880644548522,2.0,2,-0.0003609681,[-0.0003609681],102,-51.69386695362131,-0.5068026171923657
18,0, He,0.7621880644548522,2.0,2,-0.0001135563,[-0.0001135563],122,-75.39923186294983,-0.6180264906799167
19,0, He,0.7621880644548522,2.0,2,-0.0003672749,[-0.0003672749],105,-115.47239470056799,-1.0997370923863619
20,0, He,0.7621880644548522,2.0,2,-0.0005556552,[-0.0005556552],107,-93.15596127221302,-0.870616460487972
21,0, He,0.7621880644548522,2.0,2,-0.00036394817,[-0.00036394817],122,-73.4463740762517,-0.6020194596414075
22,0, He,0.7621880644548522,2.0,2,-0.0002100966,[-0.0002100966],114,-86.73634108029798,-0.7608450971955962
23,0, He,0.7621880644548522,2.0,2,-0.00023643693,[-0.00023643693],133,-125.57155454669653,-0.9441470266668912
24,0, He,0.7621880644548522,2.0,2,-0.00045200303,[-0.00045200303],102,-90.82425641702989,-0.8904338864414695
25,0, He,0.7621880644548522,2.0,2,-0.0006243954,[-0.0006243954],115,-121.21016263244846,-1.054001414195204
26,0, He,0.7621880644548522,2.0,2,-0.00025883623,[-0.00025883623],120,-81.65684595554684,-0.6804737162962237
27,0, He,0.7621880644548522,2.0,2,-0.00030733744,[-0.00030733744],83,-69.923382942521,-0.8424503968978434
28,0, He,0.7621880644548522,2.0,2,-0.00044961896,[-0.00044961896],89,-58.4264674943174,-0.6564771628574989
29,0, He,0.7621880644548522,2.0,2,-0.0004222131,[-0.0004222131],112,-90.523377560397,-0.8082444425035445
30,0, Every,0.11170606244822176,2.0,2,-0.0003243799,[-0.0003243799],137,-97.60097922578232,-0.7124159067575352
31,0, Every,0.11170606244822176,2.0,2,-0.00022070204,[-0.00022070204],99,-91.85839231742604,-0.9278625486608691
32,0, Every,0.11170606244822176,2.0,2,-0.00024488938,[-0.00024488938],111,-84.77982484380803,-0.7637822058000723
33,0, Every,0.11170606244822176,2.0,2,-0.00047595197,[-0.00047595197],76,-30.404865560799497,-0.4000640205368355
34,0, Every,0.11170606244822176,2.0,2,-0.00077889254,[-0.00077889254],58,-26.079531191444005,-0.44964708950765525
35,0, Every,0.11170606244822176,2.0,2,-0.00032652557,[-0.00032652557],90,-71.2739837510095,-0.7919331527889945
36,0, Every,0.11170606244822176,2.0,2,-0.00036918215,[-0.00036918215],110,-64.79897132126028,-0.5890815574660025
37,0, Every,0.11170606244822176,2.0,2,-0.0009860081,[-0.0009860081],92,-66.38644807346624,-0.7215918268855026
38,0, Every,0.11170606244822176,2.0,2,-0.00041148844,[-0.00041148844],119,-74.45306095131296,-0.6256559743807811
39,0, Every,0.11170606244822176,2.0,2,-0.00043055005,[-0.00043055005],88,-65.614831221116,-0.7456230820581364
40,0, Every,0.11170606244822176,2.0,2,-0.00040552823,[-0.00040552823],97,-83.41889910278095,-0.8599886505441335
41,0, Every,0.11170606244822176,2.0,2,-0.00042340517,[-0.00042340517],80,-54.007342343096,-0.6750917792887
42,0, Every,0.11170606244822176,2.0,2,-0.00030042732,[-0.00030042732],111,-91.49333314549904,-0.8242642625720634
43,0, Every,0.11170606244822176,2.0,2,-0.00047082987,[-0.00047082987],121,-78.88009121348709,-0.6519015802767528
44,0, Every,0.11170606244822176,2.0,2,-0.0005436193,[-0.0005436193],104,-68.747683781649,-0.6610354209773943
45,0, Every,0.11170606244822176,2.0,2,-0.0014020253,[-0.0014020253],166,-162.97401121513693,-0.9817711518984152
46,0, Every,0.11170606244822176,2.0,2,-0.00014442271,[-0.00014442271],122,-80.62728021362007,-0.6608793460132792
47,0, Every,0.11170606244822176,2.0,2,-0.00029875844,[-0.00029875844],119,-89.65777880346694,-0.7534267126341759
48,0, Every,0.11170606244822176,2.0,2,-0.00025239922,[-0.00025239922],119,-104.03587679226,-0.8742510654811764
49,0, Every,0.11170606244822176,2.0,2,-0.0002786167,[-0.0002786167],126,-129.64602251393885,-1.0289366866185623
50,0, Every,0.11170606244822176,2.0,2,-0.000232384,[-0.000232384],99,-64.1943150217556,-0.6484274244621778
51,0, Every,0.11170606244822176,2.0,2,-0.00034774013,[-0.00034774013],97,-65.08457399097179,-0.6709749895976473
52,0, Every,0.11170606244822176,2.0,2,-0.00024120507,[-0.00024120507],93,-58.074448496494014,-0.6244564354461722
53,0, Every,0.11170606244822176,2.0,2,-0.00043591417,[-0.00043591417],84,-61.706740775986006,-0.7346040568569763
54,0, Every,0.11170606244822176,2.0,2,-0.00042756993,[-0.00042756993],81,-54.73667704065699,-0.6757614449463826
55,0, Every,0.11170606244822176,2.0,2,-0.00066001527,[-0.00066001527],144,-92.16056230653058,-0.6400039049064623
56,0, Every,0.11170606244822176,2.0,2,-0.0010434092,[-0.0010434092],98,-74.14525690384097,-0.7565842541208262
57,0, Every,0.11170606244822176,2.0,2,-0.0001822066,[-0.0001822066],100,-72.83785646358,-0.7283785646358
58,0, Every,0.11170606244822176,2.0,2,-0.0004324573,[-0.0004324573],79,-60.05983421806999,-0.7602510660515188
59,0, Every,0.11170606244822176,2.0,2,-0.00025228,[-0.00025228],113,-79.56677164558248,-0.7041307225272786
60,0, It,0.0800675600558669,2.0,2,-0.0007457832,[-0.0007457832],82,-67.33992161617799,-0.8212185562948535
61,0, It,0.0800675600558669,2.0,2,-0.00018911675,[-0.00018911675],101,-79.42105079879423,-0.786347037611824
62,0, It,0.0800675600558669,2.0,2,-0.0002518032,[-0.0002518032],104,-90.58849264440595,-0.8710431985039033
63,0, It,0.0800675600558669,2.0,2,-0.00031365524,[-0.00031365524],100,-77.58057762283497,-0.7758057762283497
64,0, It,0.0800675600558669,2.0,2,-0.0001655181,[-0.0001655181],100,-79.02014341088304,-0.7902014341088304
65,0, It,0.0800675600558669,2.0,2,-0.0041483263,[-0.0041483263],117,-79.3422132623793,-0.6781385748921309
66,0, It,0.0800675600558669,2.0,2,-0.0007410151,[-0.0007410151],116,-117.22568488326587,-1.0105662489936713
67,0, It,0.0800675600558669,2.0,2,-0.00033856148,[-0.00033856148],86,-76.00969034646704,-0.8838336086798493
68,0, It,0.0800675600558669,2.0,2,-0.0022443428,[-0.0022443428],119,-77.02785518826185,-0.6472929007416962
69,0, It,0.0800675600558669,2.0,2,-0.00011856285,[-0.00011856285],112,-87.23279140036702,-0.7788642089318484
70,0, It,0.0800675600558669,2.0,2,-0.0007556662,[-0.0007556662],159,-108.78492141698506,-0.6841818957043085
71,0, It,0.0800675600558669,2.0,2,-0.00028231202,[-0.00028231202],99,-96.43181858863747,-0.9740587736226007
72,0, It,0.0800675600558669,2.0,2,-0.00024929992,[-0.00024929992],93,-52.236333756046996,-0.5616810081295376
73,0, It,0.0800675600558669,2.0,2,-0.00038419815,[-0.00038419815],97,-67.87234170447002,-0.6997148629326806
74,0, It,0.0800675600558669,2.0,2,-0.0004099388,[-0.0004099388],96,-66.91975763755003,-0.6970808087244795
75,0, It,0.0800675600558669,2.0,2,-0.00022523178,[-0.00022523178],101,-93.343076238942,-0.9241888736528912
76,0, It,0.0800675600558669,2.0,2,-0.00045760558,[-0.00045760558],70,-37.01129362681971,-0.5287327660974244
77,0, It,0.0800675600558669,2.0,2,-0.00028517292,[-0.00028517292],105,-68.62866948871302,-0.6536063760829811
78,0, It,0.0800675600558669,2.0,2,-0.00024608144,[-0.00024608144],90,-87.55565616613696,-0.9728406240681884
79,0, It,0.0800675600558669,2.0,2,-0.0003920656,[-0.0003920656],101,-102.63157729996601,-1.0161542306927327
80,0, It,0.0800675600558669,2.0,2,-0.0001842294,[-0.0001842294],142,-101.38000647051204,-0.7139437075388172
81,0, It,0.0800675600558669,2.0,2,-0.00035274302,[-0.00035274302],97,-61.6764354128343,-0.635839540338498
82,0, It,0.0800675600558669,2.0,2,-0.00020139472,[-0.00020139472],103,-79.39599891650603,-0.7708349409369517
83,0, It,0.0800675600558669,2.0,2,-0.00027480218,[-0.00027480218],96,-64.55438945221599,-0.6724415567939165
84,0, It,0.0800675600558669,2.0,2,-0.00022785427,[-0.00022785427],102,-66.87171361438098,-0.6556050354351076
85,0, It,0.0800675600558669,2.0,2,-0.0002730178,[-0.0002730178],78,-76.43059497739048,-0.9798794227870574
86,0, It,0.0800675600558669,2.0,2,-0.0002224901,[-0.0002224901],92,-75.07848914507561,-0.8160705341856044
87,0, It,0.0800675600558669,2.0,2,-0.0003459521,[-0.0003459521],97,-71.2147957177853,-0.7341731517297453
88,0, It,0.0800675600558669,2.0,2,-0.00025120718,[-0.00025120718],113,-63.06398456236545,-0.5580883589589862
89,0, It,0.0800675600558669,2.0,2,-0.0003678709,[-0.0003678709],118,-89.20496297392599,-0.7559742624908982
90,1, spent,0.7822922242043738,2.0,2,-0.0004063627,[-0.0004063627],105,-87.29686688255335,-0.8313987322147939
91,1, spent,0.7822922242043738,2.0,2,-0.00023512568,[-0.00023512568],152,-92.8375564820803,-0.610773397908423
92,1, spent,0.7822922242043738,2.0,2,-0.0002813584,[-0.0002813584],84,-60.2670233442722,-0.717464563622288
93,1, spent,0.7822922242043738,2.0,2,-0.00026646157,[-0.00026646157],93,-68.3363668755769,-0.7347996438234076
94,1, spent,0.7822922242043738,2.0,2,-0.0003038842,[-0.0003038842],118,-94.72814904168918,-0.8027809240821117
95,1, spent,0.7822922242043738,2.0,2,-0.00024108587,[-0.00024108587],117,-86.49215332558474,-0.7392491737229465
96,1, spent,0.7822922242043738,2.0,2,-0.000244651,[-0.000244651],102,-64.34623492794701,-0.6308454404700687
97,1, spent,0.7822922242043738,2.0,2,-0.00025954779,[-0.00025954779],131,-81.46245580067696,-0.6218508076387554
98,1, spent,0.7822922242043738,2.0,2,-0.0007401806,[-0.0007401806],143,-106.49035691100582,-0.7446878105664743
99,1, spent,0.7822922242043738,2.0,2,-0.00045974395,[-0.00045974395],92,-78.07098738645503,-0.8485976889832069
100,1, spent,0.7822922242043738,2.0,2,-0.00029148703,[-0.00029148703],88,-60.160256028564994,-0.683639273051875
101,1, spent,0.7822922242043738,2.0,2,-0.00031794657,[-0.00031794657],83,-51.221224393925,-0.6171231854689759
102,1, spent,0.7822922242043738,2.0,2,-0.006560483,[-0.006560483],123,-97.50387295650529,-0.7927144142805309
103,1, spent,0.7822922242043738,2.0,2,-0.0005151443,[-0.0005151443],79,-54.82793959238199,-0.6940245518023036
104,1, spent,0.7822922242043738,2.0,2,-0.00033701185,[-0.00033701185],72,-44.3312703390878,-0.6157120880428861
105,1, spent,0.7822922242043738,1.0,1,-0.22482479,[-0.22482479],83,-69.02068646946603,-0.8315745357766992
106,1, spent,0.7822922242043738,2.0,2,-0.00025430648,[-0.00025430648],131,-90.26691549848049,-0.6890604236525227
107,1, spent,0.7822922242043738,2.0,2,-0.0004038594,[-0.0004038594],74,-58.27624689513601,-0.7875168499342705
108,1, spent,0.7822922242043738,2.0,2,-0.000290891,[-0.000290891],105,-63.21122467771902,-0.602011663597324
109,1, spent,0.7822922242043738,2.0,2,-0.00040552823,[-0.00040552823],111,-79.28549136478401,-0.7142837059890451
110,1, spent,0.7822922242043738,2.0,2,-0.00016361084,[-0.00016361084],148,-137.56463330983507,-0.9294907656069938
111,1, spent,0.7822922242043738,2.0,2,-0.00076150714,[-0.00076150714],79,-43.644583509189,-0.5524630823947975
112,1, spent,0.7822922242043738,2.0,2,-0.00016480287,[-0.00016480287],108,-86.99799926135566,-0.8055370301977376
113,1, spent,0.7822922242043738,2.0,2,-0.00067871925,[-0.00067871925],115,-93.9246834207283,-0.8167363775715505
114,1, spent,0.7822922242043738,2.0,2,-0.071515605,[-0.071515605],96,-53.772748435607,-0.5601327962042395
115,1, spent,0.7822922242043738,2.0,2,-0.000603311,[-0.000603311],108,-81.00583009909532,-0.7500539823990306
116,1, spent,0.7822922242043738,2.0,2,-0.00044985735,[-0.00044985735],91,-69.30710770882442,-0.7616165682288398
117,1, spent,0.7822922242043738,2.0,2,-0.00015240935,[-0.00015240935],110,-80.79081087451779,-0.7344619170410708
118,1, spent,0.7822922242043738,2.0,2,-0.1302348,[-0.1302348],91,-83.27708073461498,-0.9151327553254395
119,1, spent,0.7822922242043738,2.0,2,-0.0003121056,[-0.0003121056],85,-67.35566649838901,-0.7924196058634001
120,1, would,0.1254541406923234,2.0,2,-0.00036370975,[-0.00036370975],145,-97.62346139558059,-0.673265251004004
121,1, would,0.1254541406923234,2.0,2,-0.00051943195,[-0.00051943195],110,-71.0307434959155,-0.6457340317810499
122,1, would,0.1254541406923234,2.0,2,-0.00031317843,[-0.00031317843],109,-91.58212700372401,-0.8402030000341653
123,1, would,0.1254541406923234,2.0,2,-0.00043484138,[-0.00043484138],112,-73.5589953437344,-0.6567767441404856
124,1, would,0.1254541406923234,2.0,2,-0.00023083435,[-0.00023083435],116,-82.46145212007252,-0.7108745872420045
125,1, would,0.1254541406923234,2.0,2,-0.00034106473,[-0.00034106473],74,-63.292260078976994,-0.8553008118780675
126,1, would,0.1254541406923234,2.0,2,-0.00057900813,[-0.00057900813],116,-77.8343833157814,-0.670986063067081
127,1, would,0.1254541406923234,2.0,2,-0.00034011112,[-0.00034011112],89,-52.430820623017,-0.5891103440788427
128,1, would,0.1254541406923234,2.0,2,-0.0014302363,[-0.0014302363],102,-59.47480942514328,-0.5830863669131694
129,1, would,0.1254541406923234,2.0,2,-0.00038598618,[-0.00038598618],80,-62.767953773149,-0.7845994221643626
130,1, would,0.1254541406923234,2.0,2,-0.0005612541,[-0.0005612541],104,-96.74168639924103,-0.9302085230696253
131,1, would,0.1254541406923234,2.0,2,-0.00021688752,[-0.00021688752],120,-79.2758323043463,-0.6606319358695525
132,1, would,0.1254541406923234,2.0,2,-0.00036263696,[-0.00036263696],107,-54.65816262230431,-0.5108239497411617
133,1, would,0.1254541406923234,2.0,2,-0.00019150082,[-0.00019150082],84,-54.98465237935498,-0.6545791949923212
134,1, would,0.1254541406923234,2.0,2,-0.0005638766,[-0.0005638766],89,-50.1283204216511,-0.5632395552994505
135,1, would,0.1254541406923234,2.0,2,-0.00016408764,[-0.00016408764],113,-74.84349669733203,-0.6623318291799295
136,1, would,0.1254541406923234,2.0,2,-0.0004207827,[-0.0004207827],130,-86.838141014148,-0.6679857001088307
